it,T,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,82,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,41,20,43,35,33
13,0.04836219742629853,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
13,0.04836219742629853,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
13,0.04836219742629853,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
13,0.04836219742629853,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
14,0.041107867812353746,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
15,0.034941687640500686,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,80,25,49,53,52,84,97,99,76,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
16,0.02970043449442558,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
17,0.025245369320261744,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,52,76,97,99,84,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
18,0.021458563922222482,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
